[header]
title=Frontier Outpost
width=64
height=64
tileset=tileset_grassland.txt
location=60,46,1
music=unrest_theme.ogg

[layer]
type=background
format=dec
data=
16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,144,188,162,154,35,34,16,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,0,0,
20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,16,22,23,144,176,177,20,35,34,20,16,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,16,0,0,
24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,16,27,24,25,26,27,144,180,146,24,33,27,24,25,26,16,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,0,0,
28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,144,184,161,153,35,31,28,29,30,31,28,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,0,0,
16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,16,18,19,16,17,18,19,144,188,162,154,17,19,32,17,18,19,16,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,0,0,
20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,16,20,21,22,23,152,153,22,23,144,176,146,20,21,35,20,21,22,23,20,21,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,0,0,
24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,152,160,161,145,145,160,180,146,24,25,27,24,25,26,27,24,25,16,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,0,0,
28,29,30,31,28,29,30,31,28,29,16,31,28,29,30,16,28,29,30,31,16,29,30,31,28,152,145,160,178,179,162,147,147,147,154,28,29,32,28,29,30,31,28,29,30,31,28,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,0,0,
16,17,18,19,16,17,18,19,16,16,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,144,180,181,182,162,154,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,0,0,
20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,155,163,185,186,146,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,22,23,20,21,22,23,20,21,22,23,20,21,22,0,0,
24,25,26,27,24,25,26,27,16,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,155,163,190,146,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,26,27,24,25,26,27,24,25,26,27,24,25,26,0,0,
28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,155,163,161,153,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,31,28,29,30,31,28,29,30,31,28,29,30,0,0,
16,17,18,19,16,17,16,19,16,17,18,19,16,17,18,19,16,37,38,19,16,38,38,19,16,17,18,19,144,176,161,153,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,16,17,18,19,16,17,18,19,16,17,18,0,0,
20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,38,32,33,32,35,33,32,33,21,22,23,155,163,176,146,22,23,37,37,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,21,22,23,20,21,22,23,20,21,22,0,0,
24,25,26,27,24,16,26,27,24,25,26,27,24,25,26,27,24,25,33,38,36,37,36,36,38,25,26,27,24,144,176,146,26,27,37,36,39,39,38,36,39,37,36,37,26,27,24,25,26,27,24,25,25,26,27,24,25,26,27,24,25,26,0,0,
28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,34,34,36,37,36,38,35,43,43,31,28,192,198,194,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,30,31,28,29,30,31,28,29,30,0,0,
16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,33,35,32,37,36,35,33,35,32,43,16,155,163,146,18,19,16,17,18,19,16,17,18,19,16,0,0,19,16,17,18,19,16,17,18,18,19,16,17,18,19,16,17,18,0,0,
20,21,22,23,16,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,30,30,29,30,29,33,34,20,21,144,146,22,23,20,21,22,23,20,21,22,23,20,0,0,0,16,21,22,23,20,21,21,22,23,20,21,22,23,20,21,22,0,0,
24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,152,145,193,145,153,26,29,24,29,33,35,24,25,144,161,153,27,24,25,26,27,24,25,26,27,0,0,0,0,0,25,26,27,24,25,25,26,27,24,25,26,27,24,25,26,0,0,
28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,152,145,160,178,199,176,161,145,145,145,153,32,32,152,145,160,179,146,31,28,29,30,31,28,29,30,31,0,0,0,0,0,29,30,31,28,29,29,30,31,28,29,30,31,28,29,30,0,0,
16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,144,180,181,182,207,180,181,182,183,180,161,193,193,160,181,182,183,146,19,16,17,18,19,16,17,18,19,0,0,0,0,0,17,18,19,16,17,17,18,19,16,17,18,19,16,17,18,0,0,
