
img=images/tilesets/tileset_cave.png

tile=16,690,269,64,32,32,16
tile=17,525,368,64,32,32,16
tile=18,597,313,64,32,32,16
tile=19,589,388,64,32,32,16
tile=20,423,400,64,32,32,16
tile=21,419,509,64,32,32,16
tile=22,525,400,64,32,32,16
tile=23,589,420,64,32,32,16
tile=24,525,432,64,32,32,16
tile=25,589,452,64,32,32,16
tile=26,661,344,64,32,32,16
tile=27,725,344,64,32,32,16
tile=28,653,452,64,32,32,16
tile=29,717,453,64,32,32,16
tile=30,318,570,64,32,32,16
tile=31,419,541,64,32,32,16
tile=32,514,464,64,32,32,16
tile=33,578,484,64,32,32,16
tile=34,642,484,64,32,32,16
tile=35,514,496,64,32,32,16
tile=36,706,485,64,32,32,16
tile=37,578,516,64,32,32,16
tile=38,642,516,64,32,32,16
tile=39,706,517,64,32,32,16
tile=40,514,528,64,32,32,16
tile=41,510,560,64,32,32,16
tile=42,578,548,64,32,32,16
tile=43,642,548,64,32,32,16
tile=44,706,549,64,32,32,16
tile=45,575,580,64,32,32,16
tile=46,639,580,64,32,32,16
tile=47,703,581,64,32,32,16
tile=48,575,612,64,32,32,16
tile=49,639,612,64,32,32,16
tile=50,703,613,64,32,32,16
tile=51,565,644,64,32,32,16
tile=52,629,644,64,32,32,16
tile=53,693,645,64,32,32,16
tile=54,757,657,64,32,32,16
tile=55,569,676,64,32,32,16
tile=56,487,382,38,32,6,16
tile=57,487,414,38,32,32,16
tile=64,320,0,59,113,32,99
tile=65,379,0,59,113,27,99
tile=66,384,113,59,108,27,92
tile=67,443,113,59,108,32,92
tile=68,438,0,59,113,32,99
tile=69,497,0,59,113,27,99
tile=70,556,115,59,106,27,90
tile=71,59,534,59,106,32,90
tile=72,0,192,64,114,32,99
tile=73,64,192,61,115,29,99
tile=74,256,113,64,106,32,90
tile=75,0,419,61,115,32,99
tile=76,192,64,64,113,32,99
tile=77,0,534,59,115,27,99
tile=78,320,113,64,106,32,90
tile=79,556,0,59,115,32,99
tile=80,183,637,54,102,27,99
tile=81,792,100,37,104,5,90
tile=82,291,324,53,93,26,77
tile=83,177,533,37,104,32,90
tile=84,246,220,56,104,29,99
tile=85,400,221,41,104,9,90
tile=86,235,324,56,92,27,76
tile=87,214,529,41,106,32,90
tile=96,674,0,59,113,32,99
tile=97,733,0,59,113,27,99
tile=98,128,64,64,115,32,99
tile=99,237,635,54,105,27,99
tile=100,64,307,59,113,32,99
tile=101,61,420,59,113,27,99
tile=102,256,0,64,113,32,99
tile=103,502,113,54,108,27,99
tile=104,615,114,59,113,32,99
tile=105,615,0,59,114,27,99
tile=106,125,192,59,109,27,93
tile=107,179,420,59,109,32,93
tile=108,674,113,59,113,32,99
tile=109,733,113,59,113,27,99
tile=110,238,416,53,95,21,90
tile=111,182,322,53,96,21,90
tile=112,120,420,59,113,32,99
tile=113,123,307,59,113,27,99
tile=114,0,306,64,113,32,99
tile=115,302,219,54,105,27,99
tile=116,523,221,37,104,32,90
tile=117,560,221,37,104,5,90
tile=118,441,221,41,104,32,90
tile=119,482,221,41,104,9,90
tile=120,291,417,44,104,32,90
tile=121,356,221,44,104,12,90
tile=128,789,279,31,28,13,22
tile=129,789,307,31,28,13,22
tile=130,789,335,31,28,13,22
tile=131,483,446,31,28,13,22
tile=132,697,706,33,29,16,23
tile=133,364,522,21,45,8,41
tile=134,781,376,49,26,22,21
tile=135,385,520,24,40,7,36
tile=144,781,402,48,42,22,35
tile=145,661,227,29,69,6,63
tile=146,754,226,34,56,12,47
tile=147,423,325,50,75,21,67
tile=148,60,640,61,98,29,87
tile=149,118,533,59,104,27,89
tile=150,356,602,55,37,28,26
tile=151,355,639,56,35,24,22
tile=152,365,475,54,45,32,34
tile=153,0,649,60,77,28,64
tile=156,384,325,39,93,22,86
tile=157,344,325,40,93,13,86
tile=158,335,418,30,104,12,95
tile=159,792,0,38,100,15,92
tile=160,482,474,30,29,13,22
tile=161,483,503,30,29,13,22
tile=162,539,704,30,36,12,31
tile=163,255,599,37,36,15,28
tile=176,411,602,39,37,22,30
tile=177,788,242,40,37,13,30
tile=178,535,626,30,40,12,31
tile=179,792,204,38,38,15,30
tile=192,192,177,64,43,32,16
tile=193,525,325,64,43,32,16
tile=194,355,709,64,29,32,7
tile=195,382,573,64,29,32,7
tile=196,597,227,64,43,32,16
tile=197,597,270,64,43,32,16
tile=198,446,573,64,29,32,7
tile=199,569,708,64,29,32,7
tile=200,415,432,64,38,32,16
tile=201,690,226,64,43,32,16
tile=202,653,376,64,38,32,16
tile=203,756,689,64,24,32,7
tile=204,653,414,64,38,32,16
tile=205,589,345,64,43,32,16
tile=206,717,376,64,38,32,16
tile=207,730,713,64,24,32,7
tile=208,292,602,64,34,32,7
tile=209,661,301,64,43,32,16
tile=210,291,636,64,34,32,7
tile=211,692,677,64,29,32,7
tile=212,291,670,64,34,32,7
tile=213,725,301,64,43,32,16
tile=214,291,704,64,34,32,7
tile=215,633,709,64,29,32,7
tile=216,411,639,64,34,32,7
tile=217,416,673,64,34,32,7
tile=218,450,602,64,34,32,7
tile=219,411,639,64,34,32,7
tile=224,770,559,60,32,30,16
tile=225,475,636,60,34,28,18
tile=226,633,676,59,33,29,17
tile=227,767,591,61,32,29,16
tile=228,419,470,63,39,31,21
tile=229,717,414,63,39,31,21
tile=230,255,521,63,39,31,21
tile=231,255,560,63,39,31,21
tile=232,480,670,60,34,29,18
tile=233,355,674,61,35,29,18
tile=234,419,707,60,33,29,17
tile=235,514,592,61,34,29,18
tile=236,479,707,60,33,29,17
tile=237,770,492,60,34,29,18
tile=238,770,526,60,33,29,17
tile=239,767,623,61,34,29,18
tile=240,121,637,62,102,31,94
tile=241,184,220,62,102,31,94
tile=264,0,0,128,64,32,32
tile=265,0,64,128,64,32,32
animation=265;0,128,66ms;0,64,66ms;
tile=266,781,444,47,48,22,36
tile=267,473,325,52,57,20,45
tile=268,318,522,46,48,21,36
tile=269,365,418,50,57,29,45
