[header]
width=120
height=120
tilewidth=64
tileheight=32
orientation=isometric
background_color=0,0,0,255
hero_pos=67,47
music=music/cave_theme.ogg
parallax_layers=maps/parallax/fog.txt
tileset=tilesetdefs/tileset_cave.txt
title=Underworld

[tilesets]
tileset=../../../tiled/cave/tiled_collision.png,64,32,0,0
tileset=../../../tiled/cave/tiled_cave.png,64,128,0,0
tileset=../../../tiled/cave/set_rules.png,64,32,0,0
tileset=../../../tiled/cave/tiled_cave_2x2.png,128,64,0,16

[layer]
type=background
data=
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,196,216,217,216,217,216,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,22,23,192,218,219,218,219,218,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,26,27,24,25,26,27,204,208,217,216,217,216,198,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
197,202,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,28,29,30,31,28,29,48,31,28,200,208,218,219,218,210,206,57,16,17,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
216,210,202,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,16,17,18,19,16,17,18,19,16,17,196,216,217,216,217,194,23,20,21,22,57,20,21,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
218,219,210,197,202,57,16,16,16,16,16,16,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,23,20,21,22,49,20,21,22,23,20,21,192,218,219,218,211,207,27,24,50,26,27,24,25,26,57,24,25,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
216,217,216,217,210,193,193,197,197,197,197,197,202,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,26,27,24,25,26,27,24,25,26,27,24,25,196,216,217,216,198,30,31,28,29,30,31,28,29,30,31,28,29,30,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
218,219,218,219,218,219,218,219,218,219,218,219,210,193,206,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,30,31,28,29,30,31,28,29,30,31,28,29,192,218,219,218,198,18,19,16,17,49,19,16,17,18,19,16,17,51,19,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
216,217,216,217,216,217,216,217,216,217,216,217,216,217,210,202,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,51,19,16,17,48,19,16,17,18,19,16,17,196,216,217,216,198,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
199,208,218,219,218,219,218,219,218,219,218,219,218,219,218,210,202,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,22,23,20,21,22,23,20,50,22,23,20,21,192,218,219,218,194,26,27,24,25,26,27,24,25,26,27,24,25,26,49,24,25,26,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,200,199,208,216,217,216,217,216,217,216,217,216,217,216,217,210,202,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,57,0,0,0,0,0,0,0,0,0,0,0,0,0,56,25,26,27,24,25,26,27,24,25,26,27,24,205,209,216,217,216,210,202,31,28,29,30,31,28,29,30,31,50,29,30,31,28,29,30,31,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,56,204,195,195,195,195,195,199,195,208,218,219,218,219,218,210,206,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,201,197,197,193,197,193,202,57,57,0,0,0,0,0,0,0,0,0,0,0,0,56,30,31,28,29,30,31,28,29,30,31,201,209,219,218,219,218,211,207,19,16,17,0,0,56,17,18,19,16,17,18,19,16,17,18,19,16,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,56,204,199,208,216,217,216,217,210,206,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,201,209,216,217,216,217,216,210,193,202,57,0,0,0,0,0,0,0,0,0,0,0,0,0,56,16,17,18,19,16,17,201,197,209,216,217,216,217,211,207,0,0,0,0,0,0,0,0,0,0,56,21,22,23,20,21,22,23,20,51,57,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,56,200,208,219,218,219,218,210,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,57,0,0,16,16,16,201,209,219,218,219,218,219,218,219,218,210,206,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,22,23,20,201,209,218,219,218,219,218,211,203,0,0,0,0,0,0,0,0,0,0,0,0,0,56,27,24,25,26,27,24,25,26,57,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,56,200,208,216,217,216,217,198,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,201,197,206,57,16,16,205,197,209,216,217,216,217,216,217,216,217,216,217,210,206,57,16,16,57,0,0,0,0,0,0,0,0,0,16,16,201,197,193,209,217,216,217,216,217,211,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,28,51,30,31,28,29,30,31,57,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,196,218,219,218,219,194,0,0,0,0,0,0,0,0,0,16,16,16,16,205,193,193,209,218,210,193,197,193,209,218,219,218,219,218,219,218,219,218,219,218,219,218,210,193,197,197,202,57,0,16,16,16,57,0,0,16,16,201,209,218,219,218,219,218,219,218,211,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,17,18,19,16,17,18,51,16,0,0,0,0,0,0,0,0,0,0,0,
