[header]
width=104
height=104
tilewidth=64
tileheight=32
orientation=isometric
background_color=0,0,0,255
hero_pos=49,99
music=music/safe_room_theme.ogg
tileset=tilesetdefs/tileset_dungeon.txt
title=Ancient Temple

[tilesets]
tileset=../../../tiled/dungeon/tiled_collision.png,64,32,0,0
tileset=../../../tiled/dungeon/tiled_dungeon.png,64,128,0,0
tileset=../../../tiled/dungeon/set_rules.png,64,32,0,0
tileset=../../../tiled/dungeon/tiled_dungeon_2x2.png,128,64,0,16
tileset=../../../tiled/dungeon/door_left.png,64,128,-16,-8
tileset=../../../tiled/dungeon/door_right.png,64,128,16,-8
tileset=../../../tiled/dungeon/stairs.png,256,256,0,48

[layer]
type=background
data=
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,24,21,21,21,21,25,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,20,16,16,17,19,22,49,0,0,0,0,0,0,0,24,21,21,25,49,0,0,0,0,0,0,0,0,0,0,0,24,21,21,25,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,20,40,18,19,18,63,49,0,0,0,0,0,24,21,28,17,17,29,21,25,49,0,0,0,0,0,0,0,0,0,20,59,58,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,20,18,19,41,19,60,49,0,0,0,0,0,20,46,59,56,56,56,37,22,49,0,0,0,0,0,0,0,0,0,20,59,58,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,20,16,45,17,18,22,49,0,0,0,0,0,63,17,58,18,18,59,18,61,49,0,0,0,0,0,0,0,0,0,27,31,30,26,49,0,0,0,0,0,0,0,0,0,0,19,18,18,0,0,0,0,0,19,18,18,0,0,0,0,0,19,18,18,0,0,0,0,0,19,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,27,23,60,61,23,26,49,0,0,0,0,0,60,18,58,39,39,57,19,63,49,0,0,0,0,0,0,0,0,0,50,20,22,48,0,0,0,0,0,0,0,0,0,16,16,17,32,32,18,19,16,16,16,17,32,32,18,19,16,16,16,17,33,33,18,19,16,16,16,17,32,32,18,19,16,16,16,16,16,16,16,16,16,18,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,50,50,50,50,50,50,0,0,0,0,0,0,20,16,56,59,57,58,17,22,49,0,0,0,0,24,21,21,25,49,0,20,22,49,0,24,21,21,25,49,0,0,0,20,35,32,34,32,32,33,33,33,34,34,35,32,32,34,35,33,34,32,34,35,34,32,35,32,34,33,32,35,35,34,32,33,33,32,34,34,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,23,31,18,16,30,23,26,49,0,0,0,0,61,17,40,29,21,21,28,29,21,21,28,17,17,60,49,0,0,0,60,18,44,16,18,17,18,43,19,18,18,38,19,18,19,19,19,17,16,19,18,41,17,18,18,17,17,17,16,42,19,17,45,17,17,17,45,17,42,40,32,18,18,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,24,21,60,61,21,25,49,0,0,0,0,0,50,50,27,23,23,26,48,50,0,0,0,0,0,63,38,18,30,23,23,31,30,23,23,31,19,19,62,49,0,0,0,62,17,19,41,41,39,17,18,16,19,30,23,23,23,23,31,16,18,17,44,17,19,19,17,19,16,30,23,23,23,23,31,18,16,17,18,17,46,18,36,35,33,34,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,20,18,19,16,19,22,49,0,0,0,0,0,0,0,50,50,50,50,0,0,0,0,0,0,0,27,23,23,26,48,50,20,22,48,50,27,23,23,26,49,0,0,0,27,23,31,19,18,30,23,23,23,23,26,48,50,50,50,27,23,23,23,31,18,47,30,23,23,23,26,48,50,50,50,27,23,23,23,23,23,23,23,16,35,34,35,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,20,19,44,42,17,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,0,0,20,22,49,0,50,50,50,50,0,0,0,0,50,50,27,61,63,26,48,50,50,50,50,0,0,0,0,50,50,50,50,27,23,23,26,48,50,50,50,0,0,0,0,50,50,50,50,50,50,50,50,0,18,35,33,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,20,40,18,43,19,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,29,25,49,0,0,0,0,0,0,0,0,0,0,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,35,32,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,20,16,17,42,46,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,57,56,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,32,33,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,27,23,31,30,23,26,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,59,56,22,49,0,0,0,0,0,0,0,0,0,0,0,61,63,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,32,33,0,0,0,0,0,0,0,0,0,0,
